StatementRiskTypeId,ParentRiskTypeId,Category,Description
181,148,2,"Luxembourg, Grand Duchy of"
182,148,2,"Malta, Republic of"
183,148,2,"Monaco, Principality of"
184,148,2,"Moldova, Republic of"
185,148,2,Montenegro
186,148,2,"Netherlands, Kingdom of the"
187,148,2,"Norway, Kingdom of"
188,148,2,"Poland, Republic of"
189,148,2,"Portugal, Portuguese Republic"
190,148,2,Romania
191,148,2,Russian Federation
192,148,2,"San Marino, Republic of"
193,148,2,"Serbia, Republic of"
194,148,2,Slovakia (Slovak Republic)
195,148,2,"Slovenia, Republic of"
196,148,2,"Spain, Kingdom of"
197,148,2,Svalbard & Jan Mayen Islands
198,148,2,"Sweden, Kingdom of"
199,148,2,"Switzerland, Swiss Confederation"
200,148,2,"Turkey, Republic of"
201,148,2,Ukraine
202,148,2,"North Macedonia, Republic of"
203,148,2,United Kingdom of Great Britain & Northern Ireland
204,148,2,"Guernsey, Bailiwick of"
205,148,2,"Jersey, Bailiwick of"
206,148,2,Isle of Man
207,,2,North America
208,207,2,Antigua and Barbuda
209,207,2,"Bahamas, Commonwealth of the"
210,207,2,Barbados
211,207,2,Bermuda
212,207,2,Belize
213,207,2,British Virgin Islands
214,207,2,Canada
215,207,2,Cayman Islands
216,207,2,"Costa Rica, Republic of"
217,207,2,"Cuba, Republic of"
218,207,2,"Dominica, Commonwealth of"
219,207,2,Dominican Republic
220,207,2,"El Salvador, Republic of"
221,207,2,Greenland
222,207,2,Grenada
223,207,2,Guadeloupe
224,207,2,"Guatemala, Republic of"
225,207,2,"Haiti, Republic of"
226,207,2,"Honduras, Republic of"
227,207,2,Jamaica
228,207,2,Martinique
229,207,2,"Mexico, United Mexican States"
230,207,2,Montserrat
231,207,2,Netherlands Antilles
232,207,2,Curaçao
233,207,2,Aruba
234,207,2,Sint Maarten (Netherlands)
235,207,2,"Bonaire, Sint Eustatius and Saba"
236,207,2,"Nicaragua, Republic of"
237,207,2,United States Minor Outlying Islands
238,207,2,"Panama, Republic of"
239,207,2,"Puerto Rico, Commonwealth of"
240,207,2,Saint Barthelemy
241,207,2,"Saint Kitts and Nevis, Federation of"
242,207,2,Anguilla
243,207,2,Saint Lucia
244,207,2,Saint Martin
245,207,2,Saint Pierre and Miquelon
246,207,2,Saint Vincent and the Grenadines
247,207,2,"Trinidad and Tobago, Republic of"
248,207,2,Turks and Caicos Islands
249,207,2,United States of America
250,207,2,United States Virgin Islands
251,,2,Oceania
252,251,2,American Samoa
253,251,2,"Australia, Commonwealth of"
254,251,2,Solomon Islands
255,251,2,Cook Islands
256,251,2,"Fiji, Republic of"
257,251,2,French Polynesia
258,251,2,"Kiribati, Republic of"
259,251,2,Guam
260,251,2,"Nauru, Republic of"
261,251,2,New Caledonia
262,251,2,"Vanuatu, Republic of"
263,251,2,New Zealand
264,251,2,Niue
265,251,2,Norfolk Island
266,251,2,"Northern Mariana Islands, Commonwealth of the"
267,251,2,United States Minor Outlying Islands
268,251,2,"Micronesia, Federated States of"
269,251,2,"Marshall Islands, Republic of the"
270,251,2,"Palau, Republic of"
271,251,2,"Papua New Guinea, Independent State of"
272,251,2,Pitcairn Islands
273,251,2,Tokelau
274,251,2,"Tonga, Kingdom of"
275,251,2,Tuvalu
276,251,2,Wallis and Futuna
277,251,2,"Samoa, Independent State of"
278,251,2,Disputed Territory
279,,2,South America
280,279,2,"Argentina, Argentine Republic"
281,279,2,"Bolivia, Republic of"
282,279,2,"Brazil, Federative Republic of"
283,279,2,"Chile, Republic of"
284,279,2,"Colombia, Republic of"
285,279,2,"Ecuador, Republic of"
286,279,2,Falkland Islands (Malvinas)
287,279,2,French Guiana
288,279,2,"Guyana, Co-operative Republic of"
289,279,2,"Paraguay, Republic of"
290,279,2,"Peru, Republic of"
291,279,2,"Suriname, Republic of"
292,279,2,"Uruguay, Eastern Republic of"
293,279,2,"Venezuela, Bolivarian Republic of"
294,,2,Antarctica
295,294,2,Antarctica (the territory South of 60 deg S)
296,294,2,Bouvet Island (Bouvetoya)
297,294,2,South Georgia and the South Sandwich Islands
298,294,2,Heard Island and McDonald Islands
