OrganisationName,CompanyNumber,,,,,,
Abel & Cole Limited,3926343,,,,,,
Abellio East Anglia Limited,7861414,,,,,,
Abellio Greater Anglia Ltd,6428369,,,,,,
Abellio London Ltd,3786162,,,,,,
Abellio Scotrail Ltd,SC450732,,,,,,
Abellio West London Ltd,689260,,,,,,
Abercrombie & Kent Limited,1082430,,,,,,
Aberdeen Asset Investments Limited,794936,,,,,,
Aberdeen Asset Management Life And Pensions Limited,3526143,,,,,,
Aberdeen Asset Management PLC,SC082015,,,,,,
Aberdeen Asset Managers Limited,SC108419,,,,,,
Aberdeen Fund Managers Limited,740118,,,,,,
Aberdeen Infrastructure (No.3) Limited,6632304,,,,,,
Aberdeen International Airport Limited,SC096622,,,,,,
Aberdeen Roads Limited,SC489636,,,,,,
Aberforth Smaller Companies Trust PLC,SC126524,,,,,,
ABF Grain Products Limited,79590,,,,,,
ABI (UK) Limited,3553786,,,,,,
ABI Midco Limited,10164537,,,,,,
ABI SAB Group Holding Limited,3528416,,,,,,
Ability Matters Group Limited,3039768,,,,,,
Abingdon Flooring Limited,4923718,,,,,,
ABL Capital Investments Ltd,10558505,,,,,,
ABM Facility Services UK Limited,3461565,,,,,,
ABM Technical Solutions Limited,4039888,,,,,,
Abnormal Load Engineering Limited,1708850,,,,,,
ABP (London) Investment Limited,6748489,,,,,,
Abpa Holdings Limited,7847153,,,,,,
Abra Wholesales Ltd,4676700,,,,,,
Abriand Limited,7690482,,,,,,
ABS Europe Ltd.,2562251,,,,,,
ABU Dhabi Marine Areas Limited,533446,,,,,,
Acacia Mining PLC,7123187,,,,,,
Academia Limited,4771037,,,,,,
Academies Enterprise Trust,6625091,,,,,,
Academy Music Group Limited,3463738,,,,,,
Academy Music Holdings Ltd,5141419,,,,,,
Academy Transformation Trust,7846852,,,,,,
Acal BFI Central Procurement UK Limited,967025,,,,,,
ACC Aviation Limited,6825749,,,,,,
Accent Group Limited,IP30444R,,,,,,
Accenture (UK) Limited,4757301,,,,,,
Access Bookings Limited,4758650,,,,,,
Access Plus Marketing Services Limited,1594411,,,,,,
Access Technology Group Limited,5575609,,,,,,
Access UK Ltd,2343760,,,,,,
Accesso Technology Group PLC,3959429,,,,,,
Accessorize Limited,9942425,,,,,,
Accident & Emergency Agency Limited,5927852,,,,,,
Accident Exchange Limited,4141140,,,,,,
Acco UK Limited,197754,,,,,,
Accolade Midco Limited,9356549,,,,,,
Accolade Topco Limited,9356516,,,,,,
Accolade Wines Holdings Europe Limited,5185971,,,,,,
Accolade Wines Limited,137407,,,,,,
Accommodation Services (Holdings) Limited,3825262,,,,,,
Accomplish Group Holdco Limited,9052167,,,,,,
Accor UK Business & Leisure Hotels Limited,1016187,,,,,,
Accor UK Economy Hotels Limited,1244907,,,,,,
Accord Healthcare Limited,4596349,,,,,,
Accord Marketing Limited,3874258,,,,,,
Accord Mortgages Limited,2139881,,,,,,
Accord Multi Academy Trust,7484308,,,,,,
Accord Topco Limited,9471469,,,,,,
Accord-Uk Ltd,79585,,,,,,
Account Technologies Limited,9312513,,,,,,
Accrol Group Holdings PLC,9019496,,,,,,
Accrol Papers Limited,3639930,,,,,,
Accsys Technologies PLC,5534340,,,,,,
Ace European Holdings Limited,5073085,,,,,,
Ace European Holdings NO 2 Limited,5548342,,,,,,
Acenden Limited,5381786,,,,,,
Acenta Steel Holdings Limited,8424637,,,,,,
Acenta Steel Limited,3725308,,,,,,
Acepark Ltd,7199239,,,,,,
Acer U.K. Limited,2252821,,,,,,
Acerinox (U.K.) Limited,3056532,,,,,,
Aceso Healthcare Group Holdings Limited,9330398,,,,,,
ACH No.1 Limited,NI631660,,,,,,
Acheson & Acheson Limited,2764368,,,,,,
Acheson Holdings Limited,NI622641,,,,,,
Achieving For Children Community Interest Company,8878185,,,,,,
Achilles Group Holdings Limited,6551749,,,,,,
Achilles Products Limited,6002763,,,,,,
ACI Worldwide (Emea) Limited,2310474,,,,,,
Ackers P Investment Company Limited,1615174,,,,,,
ACO Technologies PLC,1854115,,,,,,
Acorn Mobility Services Ltd.,2593771,,,,,,
Acorn Recruitment Limited,3358533,,,,,,
Acre 1175 Limited,9138328,,,,,,
ACS International Schools Limited,910010,,,,,,
Act*1 Services Limited,6417126,,,,,,
Actavo (UK) Limited,4013621,,,,,,
Actavo Holdings (UK) Limited,6468204,,,,,,
Actelion Pharmaceuticals UK Limited,4133736,,,,,,
Acteon Group Limited,4231212,,,,,,
Actimize UK Limited,5135139,,,,,,
Action For Children,4764232,,,,,,
Action For Children Services Limited,2332388,,,,,,
Actionaid,1295174,,,,,,
Actis GP LLP,OC370074,,,,,,
Actis LLP,OC305927,,,,,,
Actis UK Advisers Limited,8494131,,,,,,
Active Assistance (UK) Group Limited,7704352,,,,,,
Active International Limited,2461547,,,,,,
Activision Blizzard UK Ltd,1709830,,,,,,
Activtrades PLC,5367727,,,,,,
Acton Gardens LLP,OC351063,,,,,,
Acturis Group Limited,7278867,,,,,,
Acturis Limited,3998084,,,,,,
Acushnet Europe Ltd,1198336,,,,,,
Adam Smith Advisory Group Limited,7976084,,,,,,
Adam Smith International Ltd,2732176,,,,,,
Adama Agricultural Solutions UK Ltd,2330985,,,,,,
Adams Morey Holdings Limited,4627452,,,,,,
Adams-Morey Limited,506189,,,,,,
Adapt Services Limited,4296164,,,,,,
Adare International Limited,1610897,,,,,,
Adare SEC Holdings Limited,10827606,,,,,,
Adare SEC Limited,2814431,,,,,,
ADB Construction Limited,10257653,,,,,,
Adcg (UK) Limited,6507815,,,,,,
Adda Hotels,879456,,,,,,
Addaction,2580377,,,,,,
Addison LEE Holdings Limited,8486509,,,,,,
Addison LEE Limited,1205530,,,,,,
Addison LEE Midco II Limited,8486606,,,,,,
Addison Motors Limited,714804,,,,,,
Addleshaw Goddard LLP,OC318149,,,,,,
Addo Food Group Limited,5998337,,,,,,
Adecco UK Limited,593232,,,,,,
Adelie Foods Limited,4272608,,,,,,
Adept Telecom PLC,4682431,,,,,,
Adey Holdings (2008) Limited,6738605,,,,,,
ADG Holdings LLP,OC317034,,,,,,
ADG Market Making LLP,OC317033,,,,,,
Adidas (U.K.) Limited,1075951,,,,,,
Adient Seating UK Ltd,443687,,,,,,
Adi-Gardiner Limited,1322200,,,,,,
Adler & Allan Group Limited,9091944,,,,,,
Adler & Allan Limited,318460,,,,,,
ADM (Group) Limited,9366043,,,,,,
ADM Arkady Limited,904957,,,,,,
ADM Investor Services International Limited,2547805,,,,,,
ADM Milling Limited,2445197,,,,,,
ADM Promotions UK Limited,3368672,,,,,,
ADM Trading (UK) Limited,818889,,,,,,
Admiral Group PLC,3849958,,,,,,
Admiral Insurance Company Limited,4080051,,,,,,
Admiral Taverns Limited,5438628,,,,,,
Adnams PLC,31114,,,,,,
Adobe Systems Europe Limited,SC101089,,,,,,
ADT Fire And Security PLC,1161045,,,,,,
Adva Optical Networking Limited,3593238,,,,,,
Advance Construction (Scotland) Limited,SC202570,,,,,,
Advance Construction Group Limited,SC202571,,,,,,
Advance Contracting Solutions Limited,7134728,,,,,,
Advance Group Holdings Ltd,9607008,,,,,,
Advance Uranium Asset Management Limited,7169369,,,,,,
Advanced 365 Limited,2124540,,,,,,
Advanced Business Software And Solutions Limited,3214465,,,,,,
Advanced Elastomer Systems Limited,2512288,,,,,,
Advanced Medical Solutions Group PLC,2867684,,,,,,
Advanced Medical Solutions Limited,2666957,,,,,,
Advanced Payment Solutions Limited,4947027,,,,,,
Advanced Supply Chain Group Limited,7889139,,,,,,
Advantage Finance Limited,3773673,,,,,,
Advantage Resourcing UK Limited,3341461,,,,,,
Advantage Smollan Limited,9506907,,,,,,
Advantage XPO Limited,5905651,,,,,,
Advent Capital (Holdings) Ltd,3033609,,,,,,
Advent Capital (No. 3) Limited,5528808,,,,,,
Advent International Public Limited Company,2342186,,,,,,
Adventure Transport Limited,5742973,,,,,,
Advisors Investment LLP,OC339952,,,,,,
Aecom Infrastructure & Environment UK Limited,880328,,,,,,
Aecom Limited,1846493,,,,,,
AEG Presents Ltd,5452230,,,,,,
Aegis Defence Services Limited,4541965,,,,,,
Aegis Electric & GAS International Services Limited,3200519,,,,,,
Aegis London Holdings Limited,7984021,,,,,,
Aegon EDC Limited,SC367146,,,,,,
Aegon UK Corporate Services Limited,SC170062,,,,,,
Aegon UK PLC,3679296,,,,,,
Aequor Investments Limited,7662889,,,,,,
Aerfin Holdings Limited,9353979,,,,,,
Aerfin Limited,7371844,,,,,,
Aero Metals Alliance UK Limited,9306909,,,,,,
Aeroflex Limited,317241,,,,,,
Aeropeople Limited,4191976,,,,,,
Aerotron Limited,1129495,,,,,,
AES Arena Event Services Group Holdings Limited,7889154,,,,,,
AES Ballylumford Limited,NI026040,,,,,,
AES Kilroot Power Limited,NI026039,,,,,,
Aesica Queenborough Limited,6350087,,,,,,
Aesseal PLC,2101607,,,,,,
Aetc Limited,3206792,,,,,,
Aetn UK,3105704,,,,,,
Aetna Global Benefits (UK) Limited,3554885,,,,,,
Aetna Insurance Company Limited,5956141,,,,,,
AFC Bournemouth Limited,6632170,,,,,,
AFE Group Limited,3872673,,,,,,
Affco Europe Limited,4834758,,,,,,
Affinity Capital Works Limited,9805034,,,,,,
Affinity Flying Training Services Limited,9805030,,,,,,
Affinity Sutton Professional Services Limited,7068999,,,,,,
Affinity Trust,6893564,,,,,,
Affinity Water Limited,2546950,,,,,,
Affiperf Limited,9070990,,,,,,
Affordable Housing Finance PLC,8434613,,,,,,
AFH Stores UK Limited,6423604,,,,,,
AFI Topco Limited,8473421,,,,,,
Afi-Uplift Limited,3539352,,,,,,
Africa Express Line Limited,4296141,,,,,,
African Minerals Trading Limited,7663863,,,,,,
Afton Chemical Limited,1213092,,,,,,
AG Restaurants Ltd,SC287991,,,,,,
AG Retail Cards Limited,8087453,,,,,,
AG Service Company Limited,7299444,,,,,,
AGA Rangemaster Limited,3872754,,,,,,
A-Gas (ORB) Limited,7488989,,,,,,
A-Gas Group Limited,10792666,,,,,,
"AGC Chemicals Europe, Ltd.",3825057,,,,,,
Agco Limited,509133,,,,,,
AGE Partnership Group Limited,9073284,,,,,,
AGE UK,6825798,,,,,,
AGE UK Enterprises Limited,3156159,,,,,,
Ageas Insurance Limited,354568,,,,,,
Ageas Retail Limited,1324965,,,,,,
Agetur (U.K.) Limited,3726044,,,,,,
Agfa Graphics Limited,5991659,,,,,,
Agger Limited,10192180,,,,,,
Aggregate Industries UK Limited,245717,,,,,,
Aggregated Micro Power Holdings PLC,8372177,,,,,,
Aggreko International Projects Limited,SC070332,,,,,,
Aggreko PLC,SC177553,,,,,,
Aggreko UK Limited,SC051093,,,,,,
Aghoco 1079 Limited,7924270,,,,,,
Aghoco 1476 Limited,10490695,,,,,,
Agilent Technologies LDA UK Limited,8815891,,,,,,
Agilisys Holdings Limited,3789926,,,,,,
Agilisys Limited,4327369,,,,,,
Agility Logistics Limited,112456,,,,,,
Agility Logistics Solutions Limited,3922965,,,,,,
Agility Trains East (Holdings) Limited,7930434,,,,,,
Agility Trains East Limited,7930598,,,,,,
Agnew Commercials Limited,NI013173,,,,,,
AGR Holdco Limited,9119674,,,,,,
Agrial Fresh Produce Ltd,3687920,,,,,,
Agri-Chemicals Limited,1653628,,,,,,
Agricolor Limited,NI634137,,,,,,
Agricultural Central Trading Limited,713606,,,,,,
Agricultural Mortgage Corporation P L C(The),234742,,,,,,
Agro Merchants Lurgan Transport Ltd,NI026029,,,,,,
Agrofertrans Ltd.,4504937,,,,,,
Agrovista UK Limited,3525529,,,,,,
AGS Airports Holdings Limited,9242376,,,,,,
AGS Airports Limited,9201991,,,,,,
AHL Partners LLP,OC380907,,,,,,
Ahli United Bank (UK) PLC,877859,,,,,,
Ahlstrom-Munksjo Chirnside Limited,4033572,,,,,,
Ahmad Tea (UK) Limited,8807852,,,,,,
AI Mistral Topco Limited,10502763,,,,,,
AIB Group (UK) P.L.C.,NI018800,,,,,,
AIB UK Loan Management Limited,2265458,,,,,,
Aico Limited,2544399,,,,,,
AIG Asset Management (Europe) Limited,4665011,,,,,,
AIG Europe Limited,1486260,,,,,,
AIG Life Limited,6367921,,,,,,
Aim Altitude Limited,9804626,,,,,,
Aim Altitude UK Limited,1004276,,,,,,
Aimia Foods Limited,1542173,,,,,,
Ainscough Crane Hire Ltd,3245223,,,,,,
Aioi Nissay Dowa Insurance Company of Europe PLC,5046406,,,,,,
Air And Cargo Services (Holdings) Limited,5188753,,,,,,
Air And Cargo Services Limited,401523,,,,,,
Air BP Limited,1150609,,,,,,
Air Business Limited,1977067,,,,,,
Air Charter Service Group Limited,4028491,,,,,,
Air Charter Service Limited,2525806,,,,,,
Air Energi Group Holdings Limited,8166518,,,,,,
Air Kilroe Limited,3038856,,,,,,
Air Liquide UK Limited,232592,,,,,,
Air Menzies International Limited,2901571,,,,,,
Air Partner PLC,980675,,,,,,
Air Products (BR) Limited,2532156,,,,,,
Air Products Public Limited Company,103881,,,,,,
Air Resources Limited,1427732,,,,,,
Airbags International Limited,1958326,,,,,,
Airbnb Payments UK Limited,9392688,,,,,,
Airbnb UK Limited,7797907,,,,,,
Airbus Defence And Space Limited,2449259,,,,,,
Airbus Helicopters UK Limited,1164090,,,,,,
Airbus Operations Limited,3468788,,,,,,
Airedale Catering Equipment Group Limited,8274332,,,,,,
Airedale Chemical Company Limited,1149113,,,,,,
