OrganisationName,CompanyNumber,,,,,,
Bloomsbury Publishing PLC,1984336,,,,,,
Bloor Homes Limited,2162561,,,,,,
BLU 3 (UK) Limited,5035161,,,,,,
Blu3 (Holdings) Limited,5513280,,,,,,
Blue Arrow Ltd.,641659,,,,,,
Blue Bell Hill Academy Trust,8554393,,,,,,
Blue Chip Customer Engineering Limited,2146732,,,,,,
Blue Cross,363197,,,,,,
Blue Diamond UK Limited,2421720,,,,,,
Blue Earth Foods Limited,6631237,,,,,,
Blue Motor Finance Limited,2738187,,,,,,
Blue Skies Holdings Limited,4049445,,,,,,
Blue SKY Intermodal (UK) Ltd.,4601781,,,,,,
Bluebay Asset Management Corporation Ltd,10651705,,,,,,
Bluebay Asset Management LLP,OC370085,,,,,,
Blueco Limited,3196199,,,,,,
Bluecrest Capital Management (UK) LLP,OC349662,,,,,,
Bluefin Insurance Services Limited,931954,,,,,,
Bluestone Consolidated Holdings Limited,8753310,,,,,,
Bluestones Investment Group Limited,7807506,,,,,,
Blujay Solutions Group Holdings Limited,8035563,,,,,,
Blujay Topco Limited,8044932,,,,,,
Blyton Holdings Limited,10384869,,,,,,
BMB Clothing Limited,4090249,,,,,,
BMC Software Limited,1927903,,,,,,
Bmce International (Holdings) PLC,5216566,,,,,,
BMG Rights Management (UK) Limited,6705101,,,,,,
BMI Group Holdings UK Limited,9984607,,,,,,
BMI Healthcare Limited,2164270,,,,,,
BMJ Publishing Group Limited,3102371,,,,,,
BMM JV Limited,8584962,,,,,,
BMO Capital Markets Limited,2928224,,,,,,
BMO Real Estate Partners LLP,OC338377,,,,,,
BMS Group Limited,1479949,,,,,,
BMT Defence And Security UK Limited,2326885,,,,,,
BMT Group Limited,1887373,,,,,,
BMW (UK) Limited,1378137,,,,,,
BMW (UK) Manufacturing Limited,3950868,,,,,,
BMW Financial Services (GB) Limited,1288537,,,,,,
BNK (UK) Limited,6527449,,,,,,
BNP Paribas Asset Management UK Limited,2474627,,,,,,
BNP Paribas Commodity Futures Limited,2391477,,,,,,
BNP Paribas Leasing Solutions Limited,901225,,,,,,
BNP Paribas Real Estate Advisory & Property Management UK Limited,4176965,,,,,,
BNY Mellon Investment Management Emea Limited,1118580,,,,,,
Boal U.K. Limited,2194180,,,,,,
Board of Management For Methodist Independent Schools,CHA313194,,,,,,
Board24 Ltd,2138268,,,,,,
Boats Limited,4776069,,,,,,
BOB Martin (UK) Limited,4380953,,,,,,
BOC Limited,337663,,,,,,
Bodycote PLC,519057,,,,,,
Boehringer Ingelheim Limited,711858,,,,,,
Boeing Commercial Aviation Services Europe Limited,8186759,,,,,,
Boeing Defence UK Limited,1290439,,,,,,
Boeing United Kingdom Limited,4355070,,,,,,
Boketto Holdco Limited,9908359,,,,,,
Boketto Newco Limited,9908552,,,,,,
Boleyn Phoenix Limited,8869033,,,,,,
Bollin Group Limited,2404333,,,,,,
Bollore Logistics UK Ltd,232744,,,,,,
Bolton Car Centre Limited,1560396,,,,,,
Bombardier Transportation (Rolling Stock) UK Ltd,2988520,,,,,,
Bombardier Transportation UK Ltd,2235994,,,,,,
BON BON Buddies (Holdings) Limited,5135696,,,,,,
BON BON Buddies Limited,2827349,,,,,,
Bonhams 1793 Limited,4326560,,,,,,
Bonhams Brooks Ps&N Limited,7796675,,,,,,
Bonmarche Holdings PLC,8638336,,,,,,
Bonmarche Limited,7909526,,,,,,
Boodle & Dunthorne Limited,472968,,,,,,
Boohoo.Com UK Limited,5723154,,,,,,
Booker Direct Limited,4004640,,,,,,
Booker Group Limited,5145685,,,,,,
Booker Limited,197380,,,,,,
Booker Retail Partners (GB) Limited,6460554,,,,,,
Booking.Com Customer Service Center (UK) Limited,8515908,,,,,,
Booking.Com Limited,3512889,,,,,,
Boost Pay Limited,7123990,,,,,,
Boots Hearingcare Limited,823009,,,,,,
Boots International Limited,4034358,,,,,,
Boots Management Services Limited,7073438,,,,,,
Boots Opticians Professional Services Limited,6779221,,,,,,
Boots UK Limited,928555,,,,,,
Boparan Holdco Limited,7495915,,,,,,
Boparan Holdings Limited,3558065,,,,,,
Borax Europe Limited,36374,,,,,,
Borchard Lines Limited,517224,,,,,,
Border Holdings (U.K.) Ltd.,1664243,,,,,,
Borders Automobile Company Limited,SC131487,,,,,,
Boreal Limited,NI027859,,,,,,
Boreas (Investment) Limited,8692723,,,,,,
Boreas Holdco Limited,8693195,,,,,,
Borgwarner Limited,2346109,,,,,,
Borley Engineering Services Limited,2745902,,,,,,
Borras Construction Ltd.,1520021,,,,,,
Borras Group Holdings Limited,8812560,,,,,,
Bosch Lawn And Garden Limited,3073491,,,,,,
Bosch Rexroth Limited,768471,,,,,,
Bosch Thermotechnology Ltd,1993294,,,,,,
Bose Limited,1187672,,,,,,
Boseco Limited,6449999,,,,,,
Boskalis Westminster (Holdings) Limited,282243,,,,,,
Boskalis Westminster Limited,745328,,,,,,
Boss Design Limited,1702024,,,,,,
Bostik Limited,68328,,,,,,
Boston Holdco A Limited,8516288,,,,,,
Boston Limited,2771869,,,,,,
Boston Putford Offshore Safety Limited,455971,,,,,,
Boston Scientific Limited,2729626,,,,,,
Bott Limited,1325869,,,,,,
Bottomline Technologies Limited,8098450,,,,,,
Boughey Distribution Limited,797672,,,,,,
Boulters Meadow Limited,8109297,,,,,,
Boulting Group Limited,2950900,,,,,,
Bounty Brands Holdings Limited,10472393,,,,,,
Bourne Again Limited,5731084,,,,,,
Bourne Education Trust,7768726,,,,,,
Bourne Group Holdings Ltd,2695601,,,,,,
Bourne Group Ltd.,412198,,,,,,
Bourne Holidays Limited,1854900,,,,,,
Bourne Leisure Holdings Limited,4011667,,,,,,
Boussard & Gavaudan Investment Management LLP,OC388967,,,,,,
Boussard & Gavaudan Partners Limited,4468200,,,,,,
Boutinot Limited,1530086,,,,,,
Boux Avenue Limited,7191520,,,,,,
Bouygues (U.K.) Limited,3460378,,,,,,
Bouygues E&S Contracting UK Limited,SC087174,,,,,,
Bouygues E&S FM UK Limited,4243192,,,,,,
Bouygues E&S Infrastructure UK Limited,707875,,,,,,
Bovis Homes Group PLC,306718,,,,,,
Bovis Homes Limited,397634,,,,,,
Bowers & Wilkins Holding Ltd,10153033,,,,,,
Bowker Blackburn Limited,1364761,,,,,,
Bowker Preston Limited,805059,,,,,,
Bowmer And Kirkland Limited,701982,,,,,,
Bowring Transport Limited,1212048,,,,,,
Box Holdings (Bham) Limited,10030557,,,,,,
Box Ltd,3224094,,,,,,
Box.Com (UK) Ltd,8097316,,,,,,
Boxes And Packaging (UK) Limited,5562625,,,,,,
Boxtrent Limited,5749313,,,,,,
BP (Abu Dhabi) Limited,735658,,,,,,
BP Amoco Exploration (IN Amenas) Limited,SC135813,,,,,,
BP Aromatics Limited,6226624,,,,,,
BP Chemicals East China Investments Limited,4152953,,,,,,
BP Chemicals Limited,194971,,,,,,
BP Eastern Mediterranean Limited,2239062,,,,,,
BP Energy Europe Limited,SC107896,,,,,,
BP Exploration (Alpha) Limited,1021007,,,,,,
BP Exploration (Angola) Limited,615393,,,,,,
BP Exploration (Azerbaijan) Limited,2160234,,,,,,
BP Exploration (Caspian Sea) Limited,404347,,,,,,
BP Exploration Beta Limited,895797,,,,,,
BP Exploration Operating Company Limited,305943,,,,,,
BP GAS Marketing Limited,908982,,,,,,
BP Global Investments Limited,263889,,,,,,
BP International Limited,542515,,,,,,
BP Kuwait Limited,284323,,,,,,
BP Marine Limited,1214291,,,,,,
BP Oil UK Limited,446915,,,,,,
BP P.L.C.,102498,,,,,,
BP Shipping Limited,140132,,,,,,
BPH Finance Number 1 Limited,5335775,,,,,,
Bpha Limited,IP26751R,,,,,,
Bp-Japan Oil Development Company Limited,SC001501,,,,,,
BPL (Holdings) Limited,2147473,,,,,,
BPP Professional Education Limited,4546335,,,,,,
BPP University Limited,2609100,,,,,,
BPT (Bradford Property Trust) Limited,252992,,,,,,
BPW Limited,1815263,,,,,,
Bradbury & Son (Buxton) Limited,363223,,,,,,
Braddell Limited,3899736,,,,,,
Bradford & Bingley PLC,3938288,,,,,,
Bradford And Sons Limited,40088,,,,,,
Bradford Diocesan Academies Trust,8258994,,,,,,
Bradford Hide Company Limited,1615294,,,,,,
Bradfords Building Supplies Limited,278994,,,,,,
Bradshaws Driffield (Holdings) Limited,1498609,,,,,,
Brady Corporation Limited,4201763,,,,,,
Braeburn Estates Developments (1) Limited,7698566,,,,,,
Braeburn Estates Developments (2) Limited,9114861,,,,,,
Braeburn Estates Developments (Infrastructure) Limited,9117089,,,,,,
Braeforge Investment Limited,7975926,,,,,,
Braeforge Limited,3437953,,,,,,
Braemar Investments Limited,SC302396,,,,,,
Braemar Shipping Services PLC,2286034,,,,,,
Braid Group (Holdings) Limited,SC299361,,,,,,
Braid Logistics (UK) Limited,SC048793,,,,,,
Brake Bros Foodservice Limited,706764,,,,,,
Brake Bros Limited,2035315,,,,,,
Brakes Foodservice NI Limited,NI066355,,,,,,
Bramall Quicks Dealerships Limited,861599,,,,,,
Brambles Enterprises Limited,2330378,,,,,,
Brammer UK Limited,569290,,,,,,
Brand Addition Limited,2083209,,,,,,
"Brand Energy & Infrastructure Services UK, Ltd.",8729615,,,,,,
Brandon Hire Group Holdings Limited,7324345,,,,,,
Brandon Hire Limited,1008351,,,,,,
Brandpath Group Limited,7224794,,,,,,
Brand-Rex Limited,2340157,,,,,,
Branston Holdings Limited,5866320,,,,,,
Branston Limited,2889789,,,,,,
Bravado International Group Limited,2754921,,,,,,
Braveshire Limited,1634730,,,,,,
Bravissimo Limited,3315389,,,,,,
Bravura Solutions (UK) Limited,5470232,,,,,,
Bray Leino Limited,1352705,,,,,,
Brayleys Cars Limited,4630552,,,,,,
Brazil Shipping I Limited,7211438,,,,,,
BRC Limited,6662824,,,,,,
Bread Factory Limited,3237576,,,,,,
Bread Holdings Limited,7570780,,,,,,
Breal Capital Limited,9147981,,,,,,
"Brecknell, Willis & CO. Limited",306444,,,,,,
Breedon Cement Limited,8284549,,,,,,
Breedon Northern Limited,SC144788,,,,,,
Breedon Southern Limited,156531,,,,,,
Breeze Motor Company Limited,3943216,,,,,,
Bregal Investments London Limited,4345764,,,,,,
Breheny Civil Engineering Limited,753976,,,,,,
Breheny Group Limited,4347292,,,,,,
Breitling UK Limited,2192055,,,,,,
Brenntag UK Limited,5262170,,,,,,
Brent Cars Limited,4794864,,,,,,
Brett Aggregates Limited,316788,,,,,,
Brett Concrete Limited,641279,,,,,,
Brett Landscaping Limited,342312,,,,,,
Brett Martin Holdings Ltd,NI047139,,,,,,
Brett Martin Limited,NI008627,,,,,,
Brevan Howard Asset Management LLP,OC302636,,,,,,
Brewdog PLC,SC311560,,,,,,
Brewin Dolphin Holdings PLC,2685806,,,,,,
Brewin Dolphin Limited,2135876,,,,,,
Breyer Group Public Limited Company,782931,,,,,,
Breyer Holdings Limited,6658343,,,,,,
Briar Chemicals Limited,7865033,,,,,,
Brickability Enterprises Holding Limited,10332050,,,,,,
Brick-Ability Ltd.,1972562,,,,,,
Bridge House Estates,CHA1035628,,,,,,
Bridge of Weir Leather Company Limited,SC015274,,,,,,
Bridgebank Holdings Limited,10472320,,,,,,
Bridgebank Limited,2062057,,,,,,
Bridgemere UK PLC,5647630,,,,,,
Bridgend Custodial Services Limited,3045222,,,,,,
Bridgepoint Advisers Europe Limited,7106781,,,,,,
Bridgepoint Advisers Limited,3220373,,,,,,
Bridgepoint Europe (SGP) Ltd,SC332267,,,,,,
Bridgepoint Group Limited,9303968,,,,,,
Bridgestone Industrial Limited,2454034,,,,,,
Bridgestone UK Limited,1040790,,,,,,
Bridgestreet Accommodations London Limited,3418582,,,,,,
Bridgestreet Accommodations Ltd.,3411955,,,,,,
Bridgetown Holdings Limited,9668501,,,,,,
Bridgnorth Aluminium Limited,4155640,,,,,,
Bridon International Ltd.,416671,,,,,,
Brigade Electronics Group PLC,7107804,,,,,,
Brigade Holdings Limited,9042901,,,,,,
Briggs & Forrester (UK) Limited,10108002,,,,,,
Briggs & Forrester Engineering Services Limited,1106549,,,,,,
Briggs & Forrester Group Limited,4342869,,,,,,
Briggs & Forrester Living Limited,1867941,,,,,,
Briggs Amasco Limited,3541311,,,,,,
Briggs Commercial Limited,SC051566,,,,,,
Briggs Equipment UK Limited,5895588,,,,,,
Briggs Marine Contractors Limited,SC114978,,,,,,
Bright Blue Foods Limited,8211695,,,,,,
Bright Horizons Family Solutions Limited,2328679,,,,,,
Bright Tribe Trust,8144578,,,,,,
Brighterkind (CB) Limited,8436114,,,,,,
Brighthouse Group Limited,6250176,,,,,,
Brighthouse Limited,6073794,,,,,,
Brighton & Hove Bus And Coach Company Limited,307468,,,,,,
Brighton College,7663,,,,,,
Brightside Group Limited,5941335,,,,,,
Brightsphere Investment Group PLC,9062478,,,,,,
"Brightsphere UK, Ltd.",9072980,,,,,,
Brightstar 20:20 UK Limited,8401611,,,,,,
Brightsun Travel (UK) Limited,2024271,,,,,,
Brightwork Limited,SC296104,,,,,,
Brindleclass Limited,1505901,,,,,,
"Brink's Global Services, Ltd.",3693465,,,,,,
Brintons Carpets Limited,7749331,,,,,,
Brioche Pasquier U.K. Limited,4039198,,,,,,
Brisko Scaffolding Limited,3268088,,,,,,
Bristan Group Limited,1318148,,,,,,
Bristol Airport (UK) No.3 Limited,5403024,,,,,,
Bristol Airport Limited,2078692,,,,,,
Bristol Community Health C.I.C.,7582710,,,,,,
Bristol Fruit Sales (Bananas) Limited,5900851,,,,,,
Bristol Fruit Sales (Market) Limited,1016224,,,,,,
Bristol Laboratories Group Limited,8954173,,,,,,
Bristol Laboratories Limited,3393503,,,,,,
Bristol Street First Investments Limited,251237,,,,,,
Bristol Street Fourth Investments Limited,522856,,,,,,
Bristol Water Group Limited,7671099,,,,,,
Bristol Water PLC,2662226,,,,,,
Bristol-Myers Squibb Business Services Limited,2059282,,,,,,
Bristol-Myers Squibb Pharmaceuticals Limited,2487574,,,,,,
Bristow Aviation Holdings Limited,3234500,,,,,,
Bristow Helicopters (International) Limited,604403,,,,,,
Bristow Helicopters Limited,551102,,,,,,
Bristow Technical Services Limited,520374,,,,,,
Bristows LLP,OC358808,,,,,,
Brit Group Services Limited,2245562,,,,,,
Brit Insurance Holdings Limited,3121594,,,,,,
Brit Limited,8821629,,,,,,
Brit Syndicates Limited,824611,,,,,,
Brit UW Limited,3217775,,,,,,
Brita Water Filter Systems Limited,2700375,,,,,,
Britannia Hotels Limited,1343600,,,,,,
Britannia Hotels No.2 Limited,8478476,,,,,,
Britannia Pharmaceuticals Limited,1557088,,,,,,
Britannia Refined Metals Limited,252455,,,,,,
Britannia Steam Ship Insurance Association Limited(The),10340,,,,,,
Britannia Treasury Services Limited,3416197,,,,,,
Britannic Strategies Limited,SC123106,,,,,,
Britax Group Limited,7467954,,,,,,
Britcon (UK) Limited,2463833,,,,,,
British Airways Holidays Limited,554278,,,,,,
British Airways Maintenance Cardiff Limited,2204178,,,,,,
British Airways PLC,1777777,,,,,,
British Alcan Aluminium Limited,385816,,,,,,
British American Shared Services (GSD) Limited,5203401,,,,,,
British American Tobacco (GLP) Limited,6238103,,,,,,
British American Tobacco Global Travel Retail Limited,9913893,,,,,,
British American Tobacco P.L.C.,3407696,,,,,,
British American Tobacco UK Limited,2346565,,,,,,
British American Tobacco Western Europe Commercial Trading Limited,5203113,,,,,,
British Arab Commercial Bank Public Limited Company,1047302,,,,,,
British Bakels Limited,430208,,,,,,
British Business Bank PLC,8616013,,,,,,
British Business Investments Ltd,9091930,,,,,,
British Car Auctions Limited,438886,,,,,,
British Ceramic Tile Limited,3244910,,,,,,
British Diabetic Association(The),339181,,,,,,
British Energy Limited,SC162273,,,,,,
British Engineering Services Limited,9299724,,,,,,
British Engineering Services Topco Limited,9522491,,,,,,
British Engines Limited,7159707,,,,,,
British GAS Energy Procurement Limited,8811254,,,,,,
British GAS Insurance Limited,6608316,,,,,,
British GAS New Heating Limited,6723244,,,,,,
British GAS Services Limited,3141243,,,,,,
British GAS Social Housing Limited,1026007,,,,,,
British GAS Trading Limited,3078711,,,,,,
British Heart Foundation,699547,,,,,,
British International Helicopters Limited,274607,,,,,,
British Land Company Public Limited Company(The),621920,,,,,,
British Legion,CHA219279,,,,,,
British Medical Association,8848,,,,,,
British Pipeline Agency Limited,1228157,,,,,,
British Polythene Limited,350729,,,,,,
British Racing Drivers Club Limited(The),257980,,,,,,
British Salt Limited,6398227,,,,,,
British Standards Institution,RC000074,,,,,,
British Steel Holdings Limited,10185111,,,,,,
British Sugar PLC,315158,,,,,,
British Telecommunications Public Limited Company,1800000,,,,,,
British United Provident Association Limited(The),432511,,,,,,
British-American Tobacco (Holdings) Limited,262254,,,,,,
Britned Development Limited,4251409,,,,,,
Britoil Limited,SC077750,,,,,,
Britvic Emea Limited,2063777,,,,,,
Britvic PLC,5604923,,,,,,
Britvic Soft Drinks Limited,517211,,,,,,
Broad Gain (UK) Limited,4525074,,,,,,
Broad Oak Motor Group Limited,657258,,,,,,
Broadband Satellite Services Limited,8203105,,,,,,
Broadgate Estates Limited,2366959,,,,,,
Broadland Properties Limited,483844,,,,,,
Broadland Wineries Limited,859081,,,,,,
Broadley (Group) Limited,4234451,,,,,,
Broadridge Financial Solutions Limited,1870679,,,,,,
Broadthorpe Limited,716577,,,,,,
Broadway Malyan Holdings Limited,5418411,,,,,,
Brobot Petroleum Limited,1349544,,,,,,
Brocade Communications UK Ltd,4084728,,,,,,
Brodies LLP,SO300334,,,,,,
Brokertec Europe Limited,2645715,,,,,,
Bromford Home Ownership Limited,IP29991R,,,,,,
Bromford Housing Group Limited,IP29996R,,,,,,
Bromley Healthcare Community Interest Company,6815987,,,,,,
Bromsgrove School,4808121,,,,,,
Brook Street (UK) Limited,459637,,,,,,
Brookfield Global Infrastructure Advisor Limited,4527558,,,,,,
Brookgate Limited,7057863,,,,,,
Brooklands Milton Keynes LLP,OC391234,,,,,,
Brooks Bros. (UK) Limited,1644146,,,,,,
Brooks Macdonald Asset Management Limited,3417519,,,,,,
Brooks Macdonald Group PLC,4402058,,,,,,
Brookson Group Limited,5953666,,,,,,
Brookson Medical Care Services Limited,8328426,,,,,,
Brookson Solutions Limited,5975526,,,,,,
Brookvale Limited,1751661,,,,,,
Broomco (3554) Limited,5234802,,,,,,
Brose Limited,849216,,,,,,
Bro-Tech Limited,1861481,,,,,,
Brother Industries (U.K.) Ltd.,1888853,,,,,,
Brother International Europe Limited,664172,,,,,,
Brother U.K. Limited,29301,,,,,,
Broughtons of Cheltenham Limited,3862894,,,,,,
Brown & Carroll (London) Limited,2885270,,,,,,
Brown And Mason Holdings Limited,1783424,,,,,,
Brown And Mason Limited,686405,,,,,,
Brown Brothers (Manufacturing) Limited,SC105710,,,,,,
Brown Brothers Distribution Limited,1438525,,,,,,
Brown Shipley & CO. Limited,398426,,,,,,
Browne Jacobson LLP,OC306448,,,,,,
"Brown-Forman Beverages, Europe, Ltd",4129810,,,,,,
Brownhills Motorhomes Limited,2999408,,,,,,
Browns Food Group Limited,SC236133,,,,,,
Broxburn Bottlers Limited,SC088127,,,,,,
BRS Limited,3491731,,,,,,
Bruker UK Limited,923986,,,,,,
Brunel Healthcare Manufacturing Limited,4504895,,,,,,
Brunning And Price Limited,1543132,,,,,,
Bruntwood Construction Limited,9498804,,,,,,
Bruntwood Group Limited,2825044,,,,,,
Bruntwood Limited,6017744,,,,,,
Bruntwood Management Services Limited,6020655,,,,,,
Brush Electrical Machines Limited,111849,,,,,,
Bryan Cave Leighton Paisner LLP,OC315919,,,,,,
Brymor Construction Ltd.,2099201,,,,,,
Brymor Group Limited,8610898,,,,,,
BSH Home Appliances Limited,1844007,,,,,,
BSI Assurance UK Limited,7805321,,,,,,
BSI Standards Limited,7864997,,,,,,
BSN Medical Distribution Ltd.,4381725,,,,,,
BSW Sawmills Limited,SC033398,,,,,,
BSW Timber Limited,SC108926,,,,,,
BT Cables Limited,8118255,,,,,,
BT Facilities Services Limited,4054291,,,,,,
BT Fleet Limited,4383521,,,,,,
BT Global Services Limited,2410810,,,,,,
BT Lancashire Services Limited,7444626,,,,,,
BT Limited,2216369,,,,,,
BT Managed Services Limited,6423121,,,,,,
BTG International Limited,2664412,,,,,,
BTG PLC,2670500,,,,,,
Bucherer Holding Limited,10650813,,,,,,
Buckingham Group Contracting Limited,2181671,,,,,,
BUE Caspian Limited,SC137320,,,,,,
Bugle Inn Motor Company (Holdings) Limited,3653507,,,,,,
Bugle Inn Motor Company Limited,2871018,,,,,,
Bugler Developments Limited,1577251,,,,,,
Bugler Group Limited,4185238,,,,,,
Buhler UK Limited,434274,,,,,,
Build-A-Bear Workshop UK Limited,4537212,,,,,,
Builder Depot Limited,4287341,,,,,,
Building Design Partnership Limited,2207415,,,,,,
Building Energy 1 Holdings PLC,10801095,,,,,,
Bulkhaul Limited,1603021,,,,,,
Bullitt Group Limited,6924413,,,,,,
Bullitt Mobile Limited,6945690,,,,,,
Bulten Limited,SC085664,,,,,,
Bunduq Company Limited,985387,,,,,,
Bunzl Public Limited Company,358948,,,,,,
Bunzl Retail & Healthcare Supplies Limited,62537,,,,,,
Bunzl UK Limited,2902454,,,,,,
Buoyant Upholstery Limited,3690496,,,,,,
Bupa Care Homes (ANS) Limited,1960990,,,,,,
Bupa Care Homes (BNH) Limited,2079932,,,,,,
Bupa Care Homes (Cfchomes) Limited,2006738,,,,,,
Bupa Care Homes (Cfhcare) Limited,2741070,,,,,,
Bupa Finance Plc.,2779134,,,,,,
Bupa Insurance Limited,3956433,,,,,,
Bupa Insurance Services Limited,3829851,,,,,,
Bupa Investments Overseas Limited,2993390,,,,,,
Bupa Occupational Health Limited,631336,,,,,,
Burberry (UK) Limited,4288292,,,,,,
Burberry Group PLC,3458224,,,,,,
Burberry Italy Retail Limited,4362786,,,,,,
Burberry Limited,162636,,,,,,
Burberrys Limited,230931,,,,,,
Burbo Extension Ltd,7307131,,,,,,
Burden Group Holdings Limited,6804025,,,,,,
Bureau Van Dijk Electronic Publishing Limited,2323741,,,,,,
Bureau Veritas UK Limited,1758622,,,,,,
Burger & Lobster Restaurant Group Limited,8332271,,,,,,
Burges Salmon Company Limited,7556770,,,,,,
Burges Salmon LLP,OC307212,,,,,,
Burke Investments Limited,9595784,,,,,,
Burlington Resources (Irish Sea) Limited,3440053,,,,,,
Burlingtown LLP,OC321167,,,,,,
Burlingtown UK Limited,6424232,,,,,,
Burmah Castrol PLC,SC005098,,,,,,
Burness Paull LLP,SO300380,,,,,,
Burnley FC Holdings Limited,8335231,,,,,,
"Burnley Football & Athletic Company,Limited(The)",54222,,,,,,
Burnt Tree Group Limited,2384046,,,,,,
Burntisland Fabrications Limited,SC213282,,,,,,
Buro Happold Engineers Limited,2005893,,,,,,
Buro Happold Limited,2049511,,,,,,
Burrows Motor Company Limited,3782929,,,,,,
Burton Roofing Merchants Limited,1713728,,,,,,
Burton Trading Limited,8907182,,,,,,
Burton's Foods Limited,2086754,,,,,,
Business Oil Platform Limited,6956515,,,,,,
Bussey & Sabberton Bros.Limited,184728,,,,,,
Busways Travel Services Limited,2295227,,,,,,
Busy Bees Nurseries Limited,3454787,,,,,,
Butcher's Pet Care Limited,1716195,,,,,,
Butler Mason Limited,10107520,,,,,,
Butlins Skyline Limited,4011665,,,,,,
Butterwick Produce Ltd,9418003,,,,,,
Butterworths Limited,2826955,,,,,,
Buuk Infrastructure Issuer PLC,8276959,,,,,,
Buuk Infrastructure NO 2 Limited,8246443,,,,,,
Buxted Construction Limited,2898593,,,,,,
Buxton Building Contractors Limited,2261235,,,,,,
BUY IT Direct Ltd,4171412,,,,,,
Buzz Group Limited,794943,,,,,,
Buzzacott LLP,OC329687,,,,,,
BV Holdings Limited,4347790,,,,,,
BV PMT Holdings Ltd,10098815,,,,,,
BVG Group Limited,3393851,,,,,,
Bvlgari (UK) Limited,2131519,,,,,,
BW Pioneer (UK) Limited,6299335,,,,,,
BW Workplace Experts Limited,10700265,,,,,,
BWA UK Holdco Limited,7661109,,,,,,
BWA Water Additives UK Limited,5657343,,,,,,
BWI (Holdings) Limited,4143184,,,,,,
BWI UK Limited,6935813,,,,,,
Bwin.Party Digital Entertainment PLC,GI91225,,,,,,
BWP (Cambridge) Limited,7948679,,,,,,
Bwsc North Lincs Limited,6337326,,,,,,
Bwsc Power Corporation Limited,8630592,,,,,,
By Development Limited,6569580,,,,,,
Bybox Field Support Limited,3852440,,,,,,
Bybox Group Holdings Limited,9917882,,,,,,
Bybox Holdings Limited,4130988,,,,,,
Byrne Bros. (Formwork) Limited,1179102,,,,,,
Byrne Group Limited,1100323,,,,,,
Byrom Public Limited Company,2630764,,,,,,
Byron Hamburgers Limited,7228130,,,,,,
Bystronic UK Limited,2276120,,,,,,
Bytes Software Services Limited,1616977,,,,,,
Bywaters (Leyton) Limited,505212,,,,,,
C & C Holdings (NI) Limited,NI022259,,,,,,
C & C Management Services Limited,4252032,,,,,,
C & J Meats Limited,NI040679,,,,,,
C & W (U.K.) LLP,OC328588,,,,,,
C & W Berry Limited,1464224,,,,,,
C Brown Services Limited,5412720,,,,,,
C C G (Holdings) Limited,SC189131,,,,,,
C H Jones Limited,305804,,,,,,
C I T B,CHA264289,,,,,,
C J Bourne (Asset Management) Limited,3687861,,,,,,
C J O'Shea Group Limited,10041474,,,,,,
C K'S Supermarket Limited,3639524,,,,,,
C Spencer Limited,2334308,,,,,,
C&C Alpha Group Limited,4590298,,,,,,
C&C Topco Limited,8794967,,,,,,
C&J Clark Limited,3314066,,,,,,
C&W Management Services LLP,OC403003,,,,,,
C. & J. Clark International Limited,141015,,,,,,
C. A. Blackwell (Contracts) Limited,570590,,,,,,
C. Brown & Sons (Steel) Limited,528385,,,,,,
C. Czarnikow Limited,3215084,,,,,,
C. Hoare & CO.,240822,,,,,,
C. J. Petrow International Limited,2862209,,,,,,
C. S. T. Pharma Limited,4212740,,,,,,
C. Smart Agricultural Services Limited,3635176,,,,,,
C.A. Group (Holdings) Limited,5900611,,,,,,
C.A. Group Limited,1745027,,,,,,
C.Brewer & Sons Limited,203852,,,,,,
C.C. Licensing,2245961,,,,,,
C.E.M. DAY Limited,215538,,,,,,
C.E.X. Limited,3194152,,,,,,
C.F.Booth Limited,472265,,,,,,
C.G. FRY And Son Limited,1765396,,,,,,
C.G.Hacking & Sons Limited,1002291,,,,,,
C.J. Lang & Son Limited,SC017664,,,,,,
C.J. Upton & Sons Limited,NI009719,,,,,,
C.J. Upton Holdings Ltd.,3392357,,,,,,
C.J.L. Construction Limited,1776666,,,,,,
C.J.O'Shea And Company Limited,939436,,,,,,
C.L.C. Contractors Limited,1230435,,,,,,
C.M. Downton (Haulage Contractors) Limited,905537,,,,,,
C.P. Hart & Sons Limited,889832,,,,,,
C.W.B.G Limited,8261788,,,,,,
C.Wynne & Sons Limited,633976,,,,,,
C1 2014 Limited,9316845,,,,,,
C3 Construction Holdings Limited,9850122,,,,,,
C3 Construction Limited,4814422,,,,,,
Cable & Wireless International HQ Limited,5921847,,,,,,
Cable News International Limited,5001368,,,,,,
Cable Services Enterprises Limited,6699897,,,,,,
Cable Services Limited,5174041,,,,,,
Cablecom Topco Limited,8731286,,,,,,
Cabot Credit Management Group Limited,4934534,,,,,,
Cabot Credit Management Limited,5754978,,,,,,
Cabot Financial (Europe) Limited,3439445,,,,,,
Cabot Financial (UK) Limited,3757424,,,,,,
Cabot Learning Federation,6207590,,,,,,
Caci Limited,1649776,,,,,,
Cadbury UK Limited,155256,,,,,,
Caddick Construction Limited,1435461,,,,,,
Caddick Group PLC,2065043,,,,,,
Cadence Design Systems Limited,2457888,,,,,,
Cadent GAS Limited,10080864,,,,,,
Cadogan Developments Limited,784866,,,,,,
Cadogan Estates Limited,687324,,,,,,
Cadogan Group Limited,2997357,,,,,,
